ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
1233,Ordos,China,CHN,drh,Definitely endangered,Urdus,,100000.0,39.1641,108.1054
1233,Ordos,China,CHN,khk,Definitely endangered,Urdus,,100000.0,39.1641,108.1054
1233,Ordos,China,CHN,mvf,Definitely endangered,Urdus,,100000.0,39.1641,108.1054
1944,Quechua of Northern Bolivia,Bolivia (Plurinational State of),BOL,qul,Vulnerable,,,100000.0,-15.3649,-69.0518
96,Suba,Kenya,KEN,sxb,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,Kenya,KEN,ssc,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,Kenya,TZA,sxb,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,Kenya,TZA,ssc,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,United Republic of Tanzania,KEN,sxb,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,United Republic of Tanzania,KEN,ssc,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,United Republic of Tanzania,TZA,sxb,Vulnerable,,,100000.0,-0.9942,34.519
96,Suba,United Republic of Tanzania,TZA,ssc,Vulnerable,,,100000.0,-0.9942,34.519
1861,Garífuna (Honduras),Honduras,HND,cab,Vulnerable,Black Carib,,98000.0,15.6754,-88.1476
292,Embera (Colombia),Colombia,COL,emp,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
292,Embera (Colombia),Colombia,COL,cmi,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
292,Embera (Colombia),Colombia,COL,cto,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
292,Embera (Colombia),Colombia,COL,sja,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
292,Embera (Colombia),Colombia,COL,bdc,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
292,Embera (Colombia),Colombia,COL,tdc,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
292,Embera (Colombia),Colombia,COL,crf,Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383
1162,Kabui,India,IND,nkf,Vulnerable,"Koboi, Kubai, Kuki-Kabui, Inpui",,95000.0,24.7218,93.6584
760,Shughni,Tajikistan,TJK,sgh,Vulnerable,"šughnī, šughnanī, шуғнони",,95000.0,37.4879,71.5374
760,Shughni,Tajikistan,AFG,sgh,Vulnerable,"šughnī, šughnanī, шуғнони",,95000.0,37.4879,71.5374
760,Shughni,Afghanistan,TJK,sgh,Vulnerable,"šughnī, šughnanī, шуғнони",,95000.0,37.4879,71.5374
760,Shughni,Afghanistan,AFG,sgh,Vulnerable,"šughnī, šughnanī, шуғнони",,95000.0,37.4879,71.5374
397,Permyak,Russian Federation,RUS,koi,Definitely endangered,“Komi-Permyak” (calque from Russian); коми-пермяцкий,,94328.0,59.204,54.5361
1825,Poqomchi',Guatemala,GTM,pob,Vulnerable,Tactic Poqomchí,,92941.0,15.3757,-90.4288
1135,Yimchungru,India,IND,yim,Vulnerable,,,92000.0,25.9629,94.9713
